Korean,English,Japanese
악취,Stench,あくしゅう
잔비,Drizzle,あめふらし
가속,Speed Boost,かそく
전투무장,Battle Armor,カブトアーマー
옹골참,Sturdy,がんじょう
습기,Damp,しめりけ
유연,Limber,じゅうなん
모래숨기,Sand Veil,すながくれ
정전기,Static,せいでんき
축전,Volt Absorb,ちくでん
저수,Water Absorb,ちょすい
둔감,Oblivious,どんかん
날씨부정,Cloud Nine,ノーてんき
복안,Compound Eyes,ふくがん
불면,Insomnia,ふみん
변색,Color Change,へんしょく
면역,Immunity,めんえき
타오르는불꽃,Flash Fire,もらいび
인분,Shield Dust,りんぷん
마이페이스,Own Tempo,マイペース
흡반,Suction Cups,きゅうばん
위협,Intimidate,いかく
그림자밟기,Shadow Tag,かげふみ
까칠한피부,Rough Skin,さめはだ
불가사의부적,Wonder Guard,ふしぎなまもり
부유,Levitate,ふゆう
포자,Effect Spore,ほうし
싱크로,Synchronize,シンクロ
클리어바디,Clear Body,クリアボディ
자연회복,Natural Cure,しぜんかいふく
피뢰침,Lightning Rod,ひらいしん
하늘의은총,Serene Grace,てんのめぐみ
쓱쓱,Swift Swim,すいすい
엽록소,Chlorophyll,ようりょくそ
발광,Illuminate,はっこう
트레이스,Trace,トレース
천하장사,Huge Power,ちからもち
독가시,Poison Point,どくのトゲ
정신력,Inner Focus,せいしんりょく
마그마의무장,Magma Armor,マグマのよろい
수의베일,Water Veil,みずのベール
자력,Magnet Pull,じりょく
방음,Soundproof,ぼうおん
젖은접시,Rain Dish,あめうけざら
모래날림,Sand Stream,すなおこし
프레셔,Pressure,プレッシャー
두꺼운지방,Thick Fat,あついしぼう
일찍기상,Early Bird,はやおき
불꽃몸,Flame Body,ほのおのからだ
도주,Run Away,にげあし
날카로운눈,Keen Eye,するどいめ
괴력집게,Hyper Cutter,かいりきバサミ
픽업,Pickup,ものひろい
게으름,Truant,なまけ
의욕,Hustle,はりきり
헤롱헤롱바디,Cute Charm,メロメロボディ
플러스,Plus,プラス
마이너스,Minus,マイナス
기분파,Forecast,てんきや
점착,Sticky Hold,ねんちゃく
탈피,Shed Skin,だっぴ
근성,Guts,こんじょう
이상한비늘,Marvel Scale,ふしぎなうろこ
해감액,Liquid Ooze,ヘドロえき
심록,Overgrow,しんりょく
맹화,Blaze,もうか
급류,Torrent,げきりゅう
벌레의알림,Swarm,むしのしらせ
돌머리,Rock Head,いしあたま
가뭄,Drought,ひでり
개미지옥,Arena Trap,ありじごく
의기양양,Vital Spirit,やるき
하얀연기,White Smoke,しろいけむり
순수한힘,Pure Power,ヨガパワー
조가비갑옷,Shell Armor,シェルアーマー
에어록,Air Lock,エアロック
갈지자걸음,Tangled Feet,ちどりあし
전기엔진,Motor Drive,でんきエンジン
투쟁심,Rivalry,とうそうしん
불굴의마음,Steadfast,ふくつのこころ
눈숨기,Snow Cloak,ゆきがくれ
먹보,Gluttony,くいしんぼう
분노의경혈,Anger Point,いかりのつぼ
곡예,Unburden,かるわざ
내열,Heatproof,たいねつ
단순,Simple,たんじゅん
건조피부,Dry Skin,かんそうはだ
다운로드,Download,ダウンロード
철주먹,Iron Fist,てつのこぶし
포이즌힐,Poison Heal,ポイズンヒール
적응력,Adaptability,てきおうりょく
스킬링크,Skill Link,スキルリンク
촉촉바디,Hydration,うるおいボディ
선파워,Solar Power,サンパワー
속보,Quick Feet,はやあし
노말스킨,Normalize,ノーマルスキン
스나이퍼,Sniper,スナイパー
매직가드,Magic Guard,マジックガード
노가드,No Guard,ノーガード
시간벌기,Stall,あとだし
테크니션,Technician,テクニシャン
리프가드,Leaf Guard,リーフガード
서투름,Klutz,ぶきよう
틀깨기,Mold Breaker,かたやぶり
대운,Super Luck,きょううん
유폭,Aftermath,ゆうばく
위험예지,Anticipation,きけんよち
예지몽,Forewarn,よちむ
천진,Unaware,てんねん
색안경,Tinted Lens,いろめがね
필터,Filter,フィルター
슬로스타트,Slow Start,スロースタート
배짱,Scrappy,きもったま
마중물,Storm Drain,よびみず
아이스바디,Ice Body,アイスボディ
하드록,Solid Rock,ハードロック
눈퍼뜨리기,Snow Warning,ゆきふらし
꿀모으기,Honey Gather,みつあつめ
통찰,Frisk,おみとおし
이판사판,Reckless,すてみ
멀티타입,Multitype,マルチタイプ
플라워기프트,Flower Gift,フラワーギフト
나이트메어,Bad Dreams,ナイトメア
나쁜손버릇,Pickpocket,わるいてぐせ
우격다짐,Sheer Force,ちからずく
심술꾸러기,Contrary,あまのじゃく
긴장감,Unnerve,きんちょうかん
오기,Defiant,まけんき
무기력,Defeatist,よわき
저주받은바디,Cursed Body,のろわれボディ
치유의마음,Healer,いやしのこころ
프렌드가드,Friend Guard,フレンドガード
깨어진갑옷,Weak Armor,くだけるよろい
헤비메탈,Heavy Metal,ヘヴィメタル
라이트메탈,Light Metal,ライトメタル
멀티스케일,Multiscale,マルチスケイル
독폭주,Toxic Boost,どくぼうそう
열폭주,Flare Boost,ねつぼうそう
수확,Harvest,しゅうかく
