Korean,English,Japanese
막치기,pound,はたく
태권당수,karate chop,からてチョップ
연속뺨치기,double slap,おうふくビンタ
연속펀치,comet punch,れんぞくパンチ
메가톤펀치,mega punch,メガトンパンチ
고양이돈받기,pay day,ネコにこばん
불꽃펀치,fire punch,ほのおのパンチ
냉동펀치,ice punch,れいとうパンチ
번개펀치,thunder punch,かみなりパンチ
할퀴기,scratch,ひっかく
찝기,vise grip,はさむ
가위자르기,guillotine,ハサミギロチン
칼바람,razor wind,かまいたち
칼춤,swords dance,つるぎのまい
풀베기,cut,いあいぎり
바람일으키기,gust,かぜおこし
날개치기,wing attack,つばさでうつ
날려버리기,whirlwind,ふきとばし
공중날기,fly,そらをとぶ
조이기,bind,しめつける
힘껏치기,slam,たたきつける
덩굴채찍,vine whip,つるのムチ
짓밟기,stomp,ふみつけ
두번치기,double kick,にどげり
메가톤킥,mega kick,メガトンキック
점프킥,jump kick,とびげり
돌려차기,rolling kick,まわしげり
모래뿌리기,sand attack,すなかけ
박치기,headbutt,ずつき
뿔찌르기,horn attack,つのでつく
마구찌르기,fury attack,みだれづき
뿔드릴,horn drill,つのドリル
몸통박치기,tackle,たいあたり
누르기,body slam,のしかかり
김밥말이,wrap,まきつく
돌진,take down,とっしん
난동부리기,thrash,あばれる
이판사판태클,double-edge,すてみタックル
꼬리흔들기,tail whip,しっぽをふる
독침,poison sting,どくばり
더블니들,twineedle,ダブルニードル
바늘미사일,pin missile,ミサイルばり
째려보기,leer,にらみつける
물기,bite,かみつく
울음소리,growl,なきごえ
울부짖기,roar,ほえる
노래하기,sing,うたう
초음파,supersonic,ちょうおんぱ
소닉붐,sonic boom,ソニックブーム
사슬묶기,disable,かなしばり
용해액,acid,ようかいえき
불꽃세례,ember,ひのこ
화염방사,flamethrower,かえんほうしゃ
흰안개,mist,しろいきり
물대포,water gun,みずでっぽう
하이드로펌프,hydro pump,ハイドロポンプ
파도타기,surf,なみのり
냉동빔,ice beam,れいとうビーム
눈보라,blizzard,ふぶき
환상빔,psybeam,サイケこうせん
거품광선,bubble beam,バブルこうせん
오로라빔,aurora beam,オーロラビーム
파괴광선,hyper beam,はかいこうせん
쪼기,peck,つつく
회전부리,drill peck,ドリルくちばし
지옥의바퀴,submission,じごくぐるま
안다리걸기,low kick,けたぐり
카운터,counter,カウンター
지구던지기,seismic toss,ちきゅうなげ
괴력,strength,かいりき
흡수,absorb,すいとる
메가드레인,mega drain,メガドレイン
씨뿌리기,leech seed,やどりぎのタネ
성장,growth,せいちょう
잎날가르기,razor leaf,はっぱカッター
솔라빔,solar beam,ソーラービーム
독가루,poison powder,どくのこな
저리가루,stun spore,しびれごな
수면가루,sleep powder,ねむりごな
꽃잎댄스,petal dance,はなびらのまい
실뿜기,string shot,いとをはく
용의분노,dragon rage,りゅうのいかり
회오리불꽃,fire spin,ほのおのうず
전기쇼크,thunder shock,でんきショック
10만볼트,thunderbolt,１０まんボルト
전기자석파,thunder wave,でんじは
번개,thunder,かみなり
돌떨구기,rock throw,いわおとし
지진,earthquake,じしん
땅가르기,fissure,じわれ
구멍파기,dig,あなをほる
맹독,toxic,どくどく
염동력,confusion,ねんりき
사이코키네시스,psychic,サイコキネシス
최면술,hypnosis,さいみんじゅつ
요가포즈,meditate,ヨガのポーズ
고속이동,agility,こうそくいどう
전광석화,quick attack,でんこうせっか
