Korean,English,Japanese
이상해씨,bulbasaur,フシギダネ
이상해풀,ivysaur,フシギソウ
이상해꽃,venusaur,フシギバナ
파이리,charmander,ヒトカゲ
리자드,charmeleon,リザード
리자몽,charizard,リザードン
꼬부기,squirtle,ゼニガメ
어니부기,wartortle,カメール
거북왕,blastoise,カメックス
캐터피,caterpie,キャタピー
단데기,metapod,トランセル
버터플,butterfree,バタフリー
뿔충이,weedle,ビードル
딱충이,kakuna,コクーン
독침붕,beedrill,スピアー
구구,pidgey,ポッポ
피죤,pidgeotto,ピジョン
피죤투,pidgeot,ピジョット
꼬렛,rattata,コラッタ
레트라,raticate,ラッタ
깨비참,spearow,オニスズメ
깨비드릴조,fearow,オニドリル
아보,ekans,アーボ
아보크,arbok,アーボック
피카츄,pikachu,ピカチュウ
라이츄,raichu,ライチュウ
모래두지,sandshrew,サンド
고지,sandslash,サンドパン
니드런♀,nidoran♀,ニドラン♀
니드리나,nidorina,ニドリーナ
니드퀸,nidoqueen,ニドクイン
니드런♂,nidoran♂,ニドラン♂
니드리노,nidorino,ニドリーノ
니드킹,nidoking,ニドキング
삐삐,clefairy,ピッピ
픽시,clefable,ピクシー
식스테일,vulpix,ロコン
나인테일,ninetales,キュウコン
푸린,jigglypuff,プリン
푸크린,wigglytuff,プクリン
주뱃,zubat,ズバット
골뱃,golbat,ゴルバット
뚜벅쵸,oddish,ナゾノクサ
냄새꼬,gloom,クサイハナ
라플레시아,vileplume,ラフレシア
파라스,paras,パラス
파라섹트,parasect,パラセクト
콘팡,venonat,コンパン
도나리,venomoth,モルフォン
디그다,diglett,ディグダ
닥트리오,dugtrio,ダグトリオ
나옹,meowth,ニャース
페르시온,persian,ペルシアン
고라파덕,psyduck,コダック
골덕,golduck,ゴルダック
망키,mankey,マンキー
성원숭,primeape,オコリザル
가디,growlithe,ガーディ
윈디,arcanine,ウインディ
발챙이,poliwag,ニョロモ
슈륙챙이,poliwhirl,ニョロゾ
강챙이,poliwrath,ニョロボン
캐이시,abra,ケーシィ
윤겔라,kadabra,ユンゲラー
후딘,alakazam,フーディン
알통몬,machop,ワンリキー
근육몬,machoke,ゴーリキー
괴력몬,machamp,カイリキー
모다피,bellsprout,マダツボミ
우츠동,weepinbell,ウツドン
우츠보트,victreebel,ウツボット
왕눈해,tentacool,メノクラゲ
독파리,tentacruel,ドククラゲ
꼬마돌,geodude,イシツブテ
데구리,graveler,ゴローン
딱구리,golem,ゴローニャ
포니타,ponyta,ポニータ
날쌩마,rapidash,ギャロップ
야돈,slowpoke,ヤドン
야도란,slowbro,ヤドラン
코일,magnemite,コイル
레어코일,magneton,レアコイル
파오리,farfetch'd,カモネギ
두두,doduo,ドードー
두트리오,dodrio,ドードリオ
쥬쥬,seel,パウワウ
쥬레곤,dewgong,ジュゴン
질퍽이,grimer,ベトベター
질뻐기,muk,ベトベトン
셀러,shellder,シェルダー
파르셀,cloyster,パルシェン
고오스,gastly,ゴース
고우스트,haunter,ゴースト
팬텀,gengar,ゲンガー
롱스톤,onix,イワーク
슬리프,drowzee,スリープ
슬리퍼,hypno,スリーパー
크랩,krabby,クラブ
킹크랩,kingler,キングラー
찌리리공,voltorb,ビリリダマ
붐볼,electrode,マルマイン
아라리,exeggcute,タマタマ
나시,exeggutor,ナッシー
탕구리,cubone,カラカラ
텅구리,marowak,ガラガラ
시라소몬,hitmonlee,サワムラー
홍수몬,hitmonchan,エビワラー
내루미,lickitung,ベロリンガ
또가스,koffing,ドガース
또도가스,weezing,マタドガス
뿔카노,rhyhorn,サイホーン
코뿌리,rhydon,サイドン
럭키,chansey,ラッキー
덩쿠리,tangela,モンジャラ
캥카,kangaskhan,ガルーラ
쏘드라,horsea,タッツー
시드라,seadra,シードラ
콘치,goldeen,トサキント
왕콘치,seaking,アズマオウ
별가사리,staryu,ヒトデマン
아쿠스타,starmie,スターミー
마임맨,mr. mime,バリヤード
스라크,scyther,ストライク
루주라,jynx,ルージュラ
에레브,electabuzz,エレブー
마그마,magmar,ブーバー
쁘사이저,pinsir,カイロス
켄타로스,tauros,ケンタロス
잉어킹,magikarp,コイキング
갸라도스,gyarados,ギャラドス
라프라스,lapras,ラプラス
메타몽,ditto,メタモン
이브이,eevee,イーブイ
샤미드,vaporeon,シャワーズ
쥬피썬더,jolteon,サンダース
부스터,flareon,ブースター
폴리곤,porygon,ポリゴン
암나이트,omanyte,オムナイト
암스타,omastar,オムスター
투구,kabuto,カブト
투구푸스,kabutops,カブトプス
프테라,aerodactyl,プテラ
잠만보,snorlax,カビゴン
프리져,articuno,フリーザー
썬더,zapdos,サンダー
파이어,moltres,ファイヤー
미뇽,dratini,ミニリュウ
신뇽,dragonair,ハクリュー
망나뇽,dragonite,カイリュー
뮤츠,mewtwo,ミュウツー
뮤,mew,ミュウ
치코리타,chikorita,チコリータ
베이리프,bayleef,ベイリーフ
메가니움,meganium,メガニウム
브케인,cyndaquil,ヒノアラシ
마그케인,quilava,マグマラシ
블레이범,typhlosion,バクフーン
리아코,totodile,ワニノコ
엘리게이,croconaw,アリゲイツ
장크로다일,feraligatr,オーダイル
꼬리선,sentret,オタチ
다꼬리,furret,オオタチ
부우부,hoothoot,ホーホー
야부엉,noctowl,ヨルノズク
